trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
163,False,"{'a': 0.8, 'e': 0.1923853128939671}",25,8,-30.582754287613227,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
164,False,"{'a': 0.8, 'e': 0.19046145976502743}",20,7,-51.02089901669875,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
165,False,"{'a': 0.8, 'e': 0.18855684516737714}",20,15,0.7235854111555611,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8, 'e': 0.18667127671570335}",25,1,43.35628988521688,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.8, 'e': 0.18480456394854633}",20,16,7.275045974500999,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8, 'e': 0.18295651830906087}",20,5,2.7778694360445515,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.8, 'e': 0.18112695312597027}",25,6,-10.467520610241163,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.8, 'e': 0.17931568359471056}",20,2,-26.93502736503343,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
171,False,"{'a': 0.8, 'e': 0.17752252675876345}",20,7,23.690793729207147,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.8, 'e': 0.17574730149117582}",25,17,15.439793868591874,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.8, 'e': 0.17398982847626407}",20,10,-25.968985948911524,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
174,False,"{'a': 0.8, 'e': 0.17224993019150142}",20,0,31.187221003958033,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.8, 'e': 0.1705274308895864}",20,8,-2.5900365320157803,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
176,False,"{'a': 0.8, 'e': 0.16882215658069055}",20,14,12.051214938298132,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.8, 'e': 0.16713393501488363}",20,0,-25.965390985450014,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
178,False,"{'a': 0.8, 'e': 0.16546259566473479}",20,0,-3.581650177388438,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
179,False,"{'a': 0.8, 'e': 0.16380796970808745}",25,0,9.08294116255595,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
180,False,"{'a': 0.8, 'e': 0.16216989001100657}",25,12,24.797589647634915,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.8, 'e': 0.1605481911108965}",25,15,19.20171208420101,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.8, 'e': 0.15894270919978754}",25,3,27.997936642204174,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.8, 'e': 0.15735328210778965}",25,0,36.50039759181817,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
